koid	org	name	op	definition	source
KO00351	224308	dnaC	BSU40440		
KO00352	224308	yabR	BSU00630		
KO00353	224308	yabS	BSU00650		
KO00354	224308	yczE	BSU03580		
KO00355	224308	spo0J,soj	BSU40960,BSU40970		
KO00356	224308	yaaT,yabA	BSU00320,BSU00330		
KO00357	224308	katX	BSU38630		
KO00358	224308	spoVC,yabK,mfd,spoVT	BSU00530,BSU00540,BSU00550,BSU00560		
KO00359	224308	yabT	BSU00660		
KO00360	224308	yfhG,yfhH	BSU08520,BSU08530		
KO00361	224308	citS,citT,yflP	BSU07580,BSU07590,BSU07600		
KO00362	224308	yczG	BSU03880		
KO00363	224308	yfmP,yfmO	BSU07400,BSU07390		
