genes,logFC,logCPM,F,PValue
SK_0612,-0.345920195,9.359246,1.40E+00,5.99E-01
SK_0613,-0.71708248,6.757008,1.72E+00,2.57E-01
SK_0614,1.8467864,9.068363,2.33E+01,5.96E-03
SK_0615,1.072219688,7.963269,3.94E+00,1.50E-01
SK_0616,0.249238573,9.534734,1.18E+00,7.10E-01
SK_0617,-0.662481446,9.568956,5.69E+00,3.26E-01
SK_0618,-0.616061806,10.338098,3.67E+00,4.05E-01
SK_0619,-0.018510725,12.008452,6.64E-03,9.78E-01
SK_0620,-0.114987146,13.082471,3.02E-01,8.26E-01
SK_0621,0.391246478,12.643986,3.39E+00,5.03E-01
SK_0622,0.364447152,12.685819,2.42E+00,5.28E-01
SK_0623,0.498511081,15.383393,1.21E+01,1.80E-02
SK_0624,-0.238396778,9.090976,9.86E-01,7.14E-01
SK_0625,-0.328286667,9.621266,9.29E-01,6.27E-01
SK_0626,-0.71792461,11.59199,6.99E+00,3.15E-01
SK_0627,-0.853955199,7.93627,8.21E-01,3.92E-01
SK_0628,0.06686116,9.685648,6.13E-02,9.22E-01
SK_0629,-0.208834154,10.401061,6.80E-01,7.78E-01
SK_0630,-0.31862316,9.929202,8.52E-01,6.51E-01
SK_0631,-0.160403102,11.037011,3.72E-01,8.30E-01
SK_0632,0.424794599,14.187501,4.36E+00,2.55E-01
SK_0633,0.59671323,11.853431,5.38E+00,3.85E-01
SK_0634,-0.179430919,14.656297,1.95E+00,5.62E-01
SK_0635,-0.208870687,12.260019,1.08E+00,7.42E-01
SK_0636,-0.072759772,11.525173,9.55E-02,9.19E-01
SK_0637,0.00722314,16.483357,6.28E-03,9.39E-01
SK_0638,0.09990746,12.244917,1.64E-01,8.75E-01
SK_0639,0.400877281,12.461725,2.66E+00,5.10E-01
SK_0640,-0.606962287,12.426555,8.37E+00,3.23E-01
SK_0641,0.091944274,12.989774,2.38E-01,8.64E-01
SK_0642,-1.202103517,10.181555,3.38E+00,1.04E-01
SK_0643,0.175973768,18.356329,1.47E+00,3.66E-01
