# PercentChange comparison matrix: rows=genes, columns=intervention conditions
# Metric: PercentChange
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
rpoC,-80.8157,-80.8157,-80.8157,-80.8157,-80.8157,-80.8157
rpoD,130.3490,130.3490,130.3490,130.3490,130.3490,130.3490
rpoE,571.3819,571.3819,571.3819,571.3819,571.3819,571.3819
rpsA,-130.4720,-130.4720,-130.4720,-130.4720,-130.4720,-130.4720
rpsB,119.4308,119.4308,119.4308,119.4308,119.4308,119.4308
rpsC,135.2405,135.2405,135.2405,135.2405,135.2405,135.2405
rpsD,-43.2865,-43.2865,-43.2865,-43.2865,-43.2865,-43.2865
rpsE,267.2529,267.2529,267.2529,267.2529,267.2529,267.2529
sdhA,-37.7676,-37.7676,-37.7676,-37.7676,-37.7676,-37.7676
sdhB,-298.5998,-298.5998,-298.5998,-298.5998,-298.5998,-298.5998
sdhC,-60.3287,-60.3287,-60.3287,-60.3287,-60.3287,-60.3287
sdhD,32.5735,32.5735,32.5735,32.5735,32.5735,32.5735
secA,-193.9823,-193.9823,-193.9823,-193.9823,-193.9823,-193.9823
secD,11.3489,11.3489,11.3489,11.3489,11.3489,11.3489
secE,-26.7547,-26.7547,-26.7547,-26.7547,-26.7547,-26.7547
secF,118.6885,118.6885,118.6885,118.6885,118.6885,118.6885
secG,-26.1263,-26.1263,-26.1263,-26.1263,-26.1263,-26.1263
secY,-208.2238,-208.2238,-208.2238,-208.2238,-208.2238,-208.2238
sfp,-750.9887,-750.9887,-750.9887,-750.9887,-750.9887,-750.9887
sigA,160.9004,160.9004,160.9004,160.9004,160.9004,160.9004
sigB,-79.9550,-79.9550,-79.9550,-79.9550,-79.9550,-79.9550
sigE,1250.2120,1250.2120,1250.2120,1250.2120,1250.2120,1250.2120
sigF,42.9037,42.9037,42.9037,42.9037,42.9037,42.9037
sigG,680.1596,680.1596,680.1596,680.1596,680.1596,680.1596
sigH,-176.7544,-176.7544,-176.7544,-176.7544,-176.7544,-176.7544
sinI,-100.0397,-100.0397,-100.0397,-100.0397,-100.0397,-100.0397
sinR,-96.9460,-96.9460,-96.9460,-96.9460,-96.9460,-96.9460
sipS,-125.2704,-125.2704,-125.2704,-125.2704,-125.2704,-125.2704
sipT,153.1975,153.1975,153.1975,153.1975,153.1975,153.1975
sipU,-314.0088,-314.0088,-314.0088,-314.0088,-314.0088,-314.0088
sipV,-132.5741,-132.5741,-132.5741,-132.5741,-132.5741,-132.5741
sipW,88.5804,88.5804,88.5804,88.5804,88.5804,88.5804
slrA,-289.5468,-289.5468,-289.5468,-289.5468,-289.5468,-289.5468
sodA,239.8753,239.8753,239.8753,239.8753,239.8753,239.8753
sodF,-1141.7839,-1141.7839,-1141.7839,-1141.7839,-1141.7839,-1141.7839
spo0A,304.2679,304.2679,304.2679,304.2679,304.2679,304.2679
spo0B,-63.7031,-63.7031,-63.7031,-63.7031,-63.7031,-63.7031
spo0E,471.6061,471.6061,471.6061,471.6061,471.6061,471.6061
spo0F,117.3124,117.3124,117.3124,117.3124,117.3124,117.3124
spoVG,-12191.2470,-12191.2470,-12191.2470,-12191.2470,-12191.2470,-12191.2470
spx,130.1249,130.1249,130.1249,130.1249,130.1249,130.1249
srfA,-281.8704,-281.8704,-281.8704,-281.8704,-281.8704,-281.8704
srfAA,-100.0000,-100.0000,68766.6542,68766.6542,-45844.4361,-45844.4361
srfAB,-196.6906,-196.6906,-196.6906,-196.6906,-196.6906,-196.6906
srfAC,-209.2391,-209.2391,-209.2391,-209.2391,-209.2391,-209.2391
srfAD,-233.7707,-233.7707,-233.7707,-233.7707,-233.7707,-233.7707
sucA,502.6509,502.6509,502.6509,502.6509,502.6509,502.6509
