# Mutant expression means: rows=genes, columns=intervention conditions
# Metric: MutantMean
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
secA,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006
secD,0.0114,0.0114,0.0114,0.0114,0.0114,0.0114
secE,-0.0048,-0.0048,-0.0048,-0.0048,-0.0048,-0.0048
secF,-0.0129,-0.0129,-0.0129,-0.0129,-0.0129,-0.0129
secG,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051
secY,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043
sfp,0.0160,0.0160,0.0160,0.0160,0.0160,0.0160
sigA,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139
sigB,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
sigE,-0.0030,-0.0030,-0.0030,-0.0030,-0.0030,-0.0030
sigF,-0.0048,-0.0048,-0.0048,-0.0048,-0.0048,-0.0048
sigG,-0.0096,-0.0096,-0.0096,-0.0096,-0.0096,-0.0096
sigH,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013
sinI,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026
sinR,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058
sipS,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
sipT,-0.0132,-0.0132,-0.0132,-0.0132,-0.0132,-0.0132
sipU,-0.0150,-0.0150,-0.0150,-0.0150,-0.0150,-0.0150
sipV,-0.0141,-0.0141,-0.0141,-0.0141,-0.0141,-0.0141
sipW,-0.0046,-0.0046,-0.0046,-0.0046,-0.0046,-0.0046
slrA,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085
sodA,-0.0178,-0.0178,-0.0178,-0.0178,-0.0178,-0.0178
sodF,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113
spo0A,0.0070,0.0070,0.0070,0.0070,0.0070,0.0070
spo0B,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053
spo0E,-0.0130,-0.0130,-0.0130,-0.0130,-0.0130,-0.0130
spo0F,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085
spoVG,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039
spx,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100
srfA,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128
srfAA,0.0000,0.0000,3.0065,3.0065,-1.9935,-1.9935
srfAB,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071
srfAC,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047
srfAD,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129
sucA,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067
sucB,-0.0021,-0.0021,-0.0021,-0.0021,-0.0021,-0.0021
sucC,-0.0010,-0.0010,-0.0010,-0.0010,-0.0010,-0.0010
sucD,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104
tagA,-0.0122,-0.0122,-0.0122,-0.0122,-0.0122,-0.0122
tagB,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122
tagC,-0.0048,-0.0048,-0.0048,-0.0048,-0.0048,-0.0048
tagD,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145
tagE,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058
tagF,-0.0139,-0.0139,-0.0139,-0.0139,-0.0139,-0.0139
tagO,-0.0107,-0.0107,-0.0107,-0.0107,-0.0107,-0.0107
